,Rec_Nbr,Unnamed: 0,address,lat_dir,latitude,lng_dir,longitude,phone,principal,school,type
142,142,142.0,"2609 SW 25TH AVENUE MIAMI, FL 33133",25.743477N,25.743477,80.235947W,-80.235947, (305)856-5197,MAYRA BARREIRA,SILVER BLUFF ES,e
143,143,143.0,"10151 SW 64TH STREET MIAMI, FL 33173",25.708609N,25.708609,80.357483W,-80.357483, (305)271-2111,DR. MIRTA R. SEGREDO,SNAPPER CREEK ES,e
144,144,144.0,"265 E 5 STREET HIALEAH, FL 33010",25.826452N,25.826452,80.276457W,-80.276457, (305)885-4556,RAMSES ANCHETA,SOUTH HIALEAH ES,e
145,145,145.0,"12231 SW 190TH TERRACE MIAMI, FL 33177",25.590095N,25.590095,80.389967W,-80.389967, (305)238-6610,DR. YOLANDA D. GREEN-SAMUEL,SOUTH MIAMI HEIGHTS ES,e
146,146,146.0,"1050 FOURTH STREET MIAMI BEACH, FL 33139",25.773549N,25.773549,80.138832W,-80.138832, (305)531-5437,JORGE MAZON,SOUTH POINTE ES,e
147,147,147.0,"45 SW 13TH STREET MIAMI, FL 33130",25.76156N,25.76156,80.194721W,-80.194721, (305)371-3311,ANNETTE DEGOTI,SOUTHSIDE ES,e
148,148,148.0,"7940 NW 194TH STREET MIAMI, FL 33015",25.949586N,25.949586,80.331599W,-80.331599, (305)816-0300,JACQUELINE ARIAS-GONZALEZ,SPANISH LAKE ELEMENTARY SCHOOL,e
149,149,149.0,"1122 BLUEBIRD AVENUE MIAMI SPRINGS, FL 33166",25.833469N,25.833469,80.303856W,-80.30385600000001, (305)885-6466,CATALINA FLOR,SPRINGVIEW ES,e
150,150,150.0,"5120 SW 72ND STREET MIAMI, FL 33143",25.70485N,25.70485,80.275884W,-80.27588399999999, (305)661-8527,DR. MARLENE LEYTE VIDAL,SUNSET ES,e
151,151,151.0,"10235 SW 84TH STREET MIAMI, FL 33173",25.690836N,25.690835999999997,80.35843W,-80.35843, (305)279-3222,WENDY S. HERNANDEZ,SUNSET PARK ES,e
152,152,152.0,"10655 SW 4TH STREET SWEETWATER, FL 33174",25.764902N,25.764902,80.367618W,-80.36761800000001, (305)559-1101,JANET P. OLIVERA,SWEETWATER ES,e
153,153,153.0,"5901 SW 16TH STREET WEST MIAMI, FL 33155",25.756141N,25.756141,80.292615W,-80.292615, (305)266-3511,AMOR REYES,SYLVANIA HEIGHTS ES,e
154,154,154.0,"120 NE 59 STREET MIAMI, FL 33137",25.829632N,25.829632,80.193714W,-80.193714, (305)758-2600,DR. LILIA A. DOBAO,TOUSSAINT L'OUVERTURE ES,e
155,155,155.0,"7540 EAST TREASURE DRIVE NORTH BAY VILLAGE, FL 33141",25.846529N,25.846529,80.146292W,-80.146292, (305)865-3141,DALIA VILLAR,TREASURE ISLAND ELEMENTARY,e
156,156,156.0,"4545 SW 104TH AVENUE MIAMI, FL 33165",25.726263N,25.726263,80.363449W,-80.363449, (305)221-0284,VIVIANA BOUZA DEBS,TROPICAL ES,e
157,157,157.0,"6735 WEST 5TH PLACE HIALEAH, FL 33012",25.883575N,25.883575,80.294924W,-80.294924, (305)822-0770,IVETTE BERNAL-PINO,TWIN LAKES ES,e
158,158,158.0,"10327 NW 11TH AVENUE MIAMI, FL 33150",25.870046N,25.870046,80.216059W,-80.216059, (305)696-9241,PEDRO R. CEDENO,VAN E. BLANTON ES,e
159,159,159.0,"12265 SW 34TH STREET MIAMI, FL 33175",25.736979N,25.736979,80.393193W,-80.39319300000001, (305)226-0441,HENRY FERNANDEZ,VILLAGE GREEN ES,e
160,160,160.0,"20500 NE 24TH AVENUE MIAMI, FL 33180",25.965964N,25.965964000000003,80.153715W,-80.153715, (305)931-1770,JULIO FONG,VIRGINIA A BOONE/HIGHLAND OAKS ES,e
161,161,161.0,"1201 NE 125 STREET NORTH MIAMI, FL 33161",25.890839N,25.890839,80.173358W,-80.173358, (305)891-0602,MILAGROS L. MAYTIN,W.J. BRYAN ES,e
162,162,162.0,"12345 SW 18TH TERRACE MIAMI, FL 33175",25.750966N,25.750966000000002,80.396115W,-80.39611500000001, (305)222-8150,ARMANDINA ACOSTA-LEON,WESLEY MATTHEWS ES,e
163,163,163.0,"11990 NW 92 AVENUE HIALEAH GARDENS, FL 33018",25.881621N,25.881621,80.347602W,-80.347602, (305)818-4000,SHARON M. GONZALEZ,WEST HIALEAH GARDENS ELEMENTARY SCHOOL,e
164,164,164.0,"18929 SW 89TH ROAD CUTLER BAY, FL 33157",25.590265N,25.590265,80.335601W,-80.335601, (305)238-7382,TAMELA L. BROWN,WHISPERING PINES ES,e
165,165,165.0,"10990 SW 113TH PLACE MIAMI, FL 33176",25.666855N,25.666854999999998,80.37902W,-80.37902, (305)273-2140,ADA M. MONTERO,WILLIAM LEHMAN ES,e
166,166,166.0,"13137 SW 26TH STREET MIAMI, FL 33175",25.743842N,25.743842,80.407446W,-80.407446, (305)222-8152,ISABEL G. VALENZANO,ZORA NEALE HURSTON ES,e
167,167,167.0,"121 NE 207TH STREET MIAMI GARDENS, FL 33179",25.965615N,25.965615,80.199351W,-80.19935100000001, (305)654-2727,KENNETH L. WILLIAMS,ANDOVER MIDDLE SCHOOL ,m
168,168,168.0,"10900 SW 127TH AVENUE MIAMI, FL 33186",25.66682N,25.66682,80.400037W,-80.400037, (305)385-7144,NANCY S. ARAGON,ARVIDA MS,m
169,169,169.0,"4899 NW 24TH AVENUE MIAMI, FL 33142",25.819511N,25.819511,80.236552W,-80.236552, (305)633-1481,MARCUS L. MILLER,BROWNSVILLE MS,m
170,170,170.0,"3737 NW 188TH STREET MIAMI GARDENS, FL 33055",25.944771N,25.944771,80.262222W,-80.262222, (305)624-2652,DEREK A. NEGRON,CAROL CITY MS,m
171,171,171.0,"2153 NW 3RD STREET MIAMI, FL 33125",25.776173N,25.776173,80.230057W,-80.23005699999999, (305)642-5055,DR. CORY R. RODRIGUEZ,CITRUS GROVE MS,m
172,172,172.0,"18305 NW 75TH PLACE MIAMI, FL 33015",25.94007N,25.940070000000002,80.323357W,-80.323357, (305)820-8800,CYNTHIA M. LIMA,COUNTRY CLUB MIDDLE SCHOOL,m
173,173,173.0,"19400 GULFSTREAM ROAD CUTLER BAY, FL 33157",25.588234N,25.588234,80.348099W,-80.348099, (305)235-4761,IGNACIO RODRIGUEZ,CUTLER BAY MS,m
174,174,174.0,"4901 LINCOLN DRIVE CORAL GABLES, FL 33133",25.72677N,25.726770000000002,80.259391W,-80.25939100000001, (305)444-7388,SHELLEY F. STROLENY,GEORGE WASHINGTON CARVER MS,m
175,175,175.0,"1331 NW 46TH STREET MIAMI, FL 33142",25.81723N,25.81723,80.218694W,-80.218694, (305)634-9787,DR. CAROL R. SAMPSON,GEORGIA JONES-AYERS MIDDLE SCHOOL,m
176,176,176.0,"9451 SW 64TH STREET MIAMI, FL 33173",25.708965N,25.708965,80.348526W,-80.348526, (305)271-3342,CYNTHIA VALDES-GARCIA,GLADES MS,m
177,177,177.0,"9889 HAMMOCKS BOULEVARD MIAMI, FL 33196",25.675217N,25.675217,80.442755W,-80.442755, (305)385-0896,DEBORAH LEAL,HAMMOCKS MS,m
178,178,178.0,"531 WEST 29 STREET HIALEAH, FL 33012",25.848008N,25.848008,80.293319W,-80.293319, (305)822-6601,JOHN J. DONOHUE,HENRY H. FILER MS,m
179,179,179.0,"17990 SW 142ND AVENUE MIAMI, FL 33177",25.600289N,25.600289,80.421697W,-80.421697, (305)971-0158,MARIA COSTA,HERBERT A. AMMONS MS,m
180,180,180.0,"11690 NW 92 AVENUE HIALEAH GARDENS, FL 33018",25.875995N,25.875995,80.349179W,-80.349179, (305)817-0017,MARITZA D. JIMENEZ,HIALEAH GARDENS MIDDLE SCHOOL,m
181,181,181.0,"6027 EAST 7 AVENUE HIALEAH, FL 33013",25.878251N,25.878251000000002,80.269053W,-80.269053, (305)681-3527,NELSON L. GONZALEZ,HIALEAH MS,m
182,182,182.0,"2375 NE 203RD STREET MIAMI, FL 33180",25.963201N,25.963201,80.15406W,-80.15406, (305)932-3810,CHERYL L. KUSHI,HIGHLAND OAKS MS,m
183,183,183.0,"650 NW 2ND AVENUE HOMESTEAD, FL 33030",25.474511N,25.474511,80.4815W,-80.4815, (305)247-4221,DR. CONTESSA S. BRYANT,HOMESTEAD MS,m
184,184,184.0,"8950 NW 2ND AVENUE MIAMI, FL 33150",25.856524N,25.856524,80.201325W,-80.201325, (305)757-9537,KEVIN E. LAWRENCE,HORACE MANN MS,m
185,185,185.0,"13100 SW 59TH STREET MIAMI, FL 33183",25.713305N,25.713305,80.406619W,-80.40661899999999, (305)385-6877,HILCA THOMAS,HOWARD D. MCMILLAN MS,m
186,186,186.0,"1075 NE 167TH STREET MIAMI, FL 33162",25.929022N,25.929022,80.178188W,-80.178188, (305)947-1451,BERNARD L. OSBORN,JOHN F. KENNEDY MS,m
187,187,187.0,"15735 SW 144 STREET MIAMI, FL 33196",25.63264N,25.63264,80.448384W,-80.44838399999999, (305)252-5900,ELIO FALCON JR,JORGE MAS CANOSA MS,m
188,188,188.0,"3100 NW FIFTH AVENUE MIAMI, FL 33127",25.805666N,25.805666,80.203311W,-80.203311, (305)573-7229,DR. APRIL M. THOMPSON-WILLIAMS,JOSE DE DIEGO MS,m
189,189,189.0,"4340 NW 3RD STREET MIAMI, FL 33126",25.775141N,25.775141,80.266843W,-80.26684300000001, (305)445-5467,SCOTT A. WEINER,KINLOCH PARK MS,m
190,190,190.0,"18484 NW 48TH PLACE MIAMI, FL 33055",25.940968N,25.940967999999998,80.281384W,-80.281384, (305)620-1294,JORGE M. BULNES,LAKE STEVENS MS,m
191,191,191.0,"15750 SW 47 STREET MIAMI, FL 33185",25.720681N,25.720681,80.44848W,-80.44848, (305)222-2775,JEAN R. BARIL,LAMAR LOUISE CURRY MS,m
192,192,192.0,"8190 NW 197 STREET MIAMI, FL 33015",25.95245N,25.95245,80.333687W,-80.333687, (305)816-9101,STEPHANIE M. TUDOR,LAWTON CHILES MS,m
193,193,193.0,"3400 NW 87TH STREET MIAMI, FL 33147",25.853062N,25.853061999999998,80.253317W,-80.25331700000001, (305)836-2610,DAVID T. LADD,MADISON MS,m
194,194,194.0,"6425 MIAMI LAKEWAY NORTH MIAMI LAKES, FL 33014",25.917896N,25.917896,80.307337W,-80.307337, (305)557-3900,MARIA MEDINA,MIAMI LAKES MS,m
195,195,195.0,"150 SOUTH ROYAL POINCIANA BOULEVARD MIAMI SPRINGS, FL 33166",25.815609N,25.815609,80.272839W,-80.272839, (305)888-6457,ALINA VALERO,MIAMI SPRINGS MIDDLE,m
196,196,196.0,"4301 NORTH MICHIGAN AVENUE MIAMI BEACH, FL 33140",25.816108N,25.816108,80.135545W,-80.135545, (305)532-3481,RENE BELLMAS,NAUTILUS MS,m
197,197,197.0,"1235 NW 192ND TERRACE MIAMI GARDENS, FL 33169",25.95054N,25.95054,80.222971W,-80.222971, (305)653-1210,RONALD G. REDMON,NORLAND MS,m
198,198,198.0,"1840 NW 157 STREET MIAMI GARDENS, FL 33054",25.917175N,25.917175,80.230874W,-80.230874, (305)624-8415,KHARIM ARMAND,NORTH DADE MS,m
199,199,199.0,"700 NE 137TH STREET NORTH MIAMI, FL 33161",25.901335N,25.901335,80.182881W,-80.18288100000001, (305)891-5611,MIRIAME STEWART,NORTH MIAMI MS,m
200,200,200.0,"1025 WEST 56 STREET HIALEAH, FL 33012",25.873426N,25.873426000000002,80.305383W,-80.30538299999999, (305)821-2460,LEONARD T. TORRES,PALM SPRINGS MS,m
201,201,201.0,"7351 SW 128TH STREET PINECREST, FL 33156",25.651941N,25.651941,80.312859W,-80.312859, (305)238-3911,JESUS GONZALEZ,PALMETTO MS,m
202,202,202.0,"11800 NW 2ND STREET MIAMI, FL 33182",25.769764N,25.769764000000002,80.388957W,-80.38895699999999, (305)220-2075,INGRID G. SOTO,PAUL W. BELL MS,m
203,203,203.0,"5801 AUGUSTO STREET CORAL GABLES, FL 33146",25.717N,25.717,80.273609W,-80.273609, (305)661-1611,HEBERT M. PENTON,PONCE DE LEON MS,m
204,204,204.0,"16001 SW 248 STREET MIAMI, FL 33031",25.536088N,25.536088,80.452996W,-80.452996, (305)247-6112,GREGORY A. BECKFORD,REDLAND MS,m
205,205,205.0,"15015 SW 103TH AVENUE MIAMI, FL 33176",25.631764N,25.631764,80.360192W,-80.360192, (305)238-2316,LARHONDA M. DONALDSON,RICHMOND HEIGHTS MS,m
206,206,206.0,"10301 SW 48TH STREET MIAMI, FL 33165",25.722986N,25.722986,80.36144W,-80.36144, (305)226-4286,BARBARA A. MENDIZABAL,RIVIERA MS,m
207,207,207.0,"9393 SW 29TH TERRACE MIAMI, FL 33165",25.74217N,25.74217,80.347568W,-80.34756800000001, (305)221-8212,JOSEPHINE OTERO,ROCKWAY MS,m
208,208,208.0,"350 NW 97TH AVENUE MIAMI, FL 33172",25.771655N,25.771655,80.353483W,-80.353483, (305)226-0179,DR. VERONA C. MCCARTHY,RUBEN DARIO MS,m
209,209,209.0,"1950 SW 19TH STREET MIAMI, FL 33145",25.754435N,25.754435,80.227217W,-80.22721700000001, (305)856-8282,BIANCA M. CALZADILLA,SHENANDOAH MS,m
210,210,210.0,"29100 SW 194TH AVENUE MIAMI, FL 33030",25.496142N,25.496142000000003,80.505943W,-80.505943, (305)224-5200,JOHN A. GALARDI,SOUTH DADE MIDDLE SCHOOL - GRADES 4-8,m
211,211,211.0,"6750 SW 60TH STREET SOUTH MIAMI, FL 33143",25.714602N,25.714602,80.30361W,-80.30360999999999, (305)661-3481,FABIOLA V. IZAGUIRRE,SOUTH MIAMI MS,m
212,212,212.0,"16301 SW 80TH AVENUE PALMETTO BAY, FL 33157",25.619469N,25.619469,80.322804W,-80.322804, (305)251-5361,RAUL F. GARCIA,SOUTHWOOD MIDDLE SCHOOL,m
213,213,213.0,"525 NW 147TH STREET MIAMI, FL 33168",25.909467N,25.909467000000003,80.208157W,-80.208157, (305)681-7481,ALEXANDER SANTOYO,THOMAS JEFFERSON MS,m
214,214,214.0,"13001 SW 26 STREET MIAMI, FL 33175",25.743879N,25.743879,80.406446W,-80.406446, (305)995-3800,WENDY A. BARNETT,W. R. THOMAS MS,m
215,215,215.0,"7525 SW 24TH STREET MIAMI, FL 33155",25.748192N,25.748192,80.318317W,-80.31831700000001, (305)261-8383,KATYNA D. LOPEZ-MARTIN,WEST MIAMI MS,m
216,216,216.0,"1901 NW 127 ST            MIAMI               , FL 33167",25.890256N,25.890256,80.23178W,-80.23178, (305)681-6647,VALTENA G. BROWN,WESTVIEW MIDDLE               ,m
217,217,217.0,"2601 NE 151 STREET NORTH MIAMI, FL 33160",25.915639N,25.915639000000002,80.147421W,-80.147421, (305)919-2000,CHRISTOPHER J. SHINN,ALONZO AND TRACY MOURNING SENIOR HIGH BISCAYNE BAY,h
218,218,218.0,"18350 NW 67TH AVENUE MIAMI, FL 33015",25.939593N,25.939593,80.306924W,-80.306924, (305)557-3770,DR. URSULA J. GARBUTT,AMERICAN SHS,h
219,219,219.0,"11700 SW 216 STREET MIAMI, FL 33170",25.566258N,25.566257999999998,80.382214W,-80.382214, (305)233-2300,MARTIN T. REID,ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS,h
220,220,220.0,"14100 NW 89TH AVENUE MIAMI LAKES, FL 33018",25.902489N,25.902489000000003,80.344533W,-80.344533, (305)362-0676,DR. MANUEL SANCHEZ III,BARBARA GOLEMAN SHS,h
221,221,221.0,"15020 SW 102ND AVENUE MIAMI, FL 33176",25.629427N,25.629427,80.358056W,-80.358056, (786)573-5353,DANIEL M. MATEO,BIOTECH @ RICHMOND HEIGHTS 9-12 HIGH SCHOOL,h
222,222,222.0,"1200 NW 6TH AVENUE MIAMI, FL 33136",25.786784N,25.786784,80.203999W,-80.203999, (305)324-8900,WILLIAM ARISTIDE,BOOKER T. WASHINGTON SHS,h
223,223,223.0,"900 NE 23 AVE. HOMESTEAD, FL 33033",25.47748N,25.47748,80.44661W,-80.44660999999999, (305)248-7911,LISA L. PIZZIMENTI,CENTER FOR INTERNATIONAL EDUCATION: A CAMBRIDGE AS,h
224,224,224.0,"450 BIRD ROAD CORAL GABLES, FL 33146",25.734681N,25.734681,80.263154W,-80.263154, (305)443-4871,ADOLFO L. COSTA,CORAL GABLES SHS,h
225,225,225.0,"10101 SW 152 STREET MIAMI, FL 33157",25.62854N,25.62854,80.356322W,-80.35632199999999, (305)232-2044,THOMAS P. ENNIS,CORAL REEF SHS,h
226,226,226.0,"8601 SW 212TH STREET CUTLER BAY, FL 33189",25.5705N,25.5705,80.330413W,-80.33041300000001, (305)235-1581,LUCAS J. DELATORRE,CUTLER BAY SHS,h
227,227,227.0,"4001 NE 2ND AVENUE MIAMI, FL 33137",25.813486N,25.813485999999997,80.191374W,-80.191374, (305)573-7135,ANA C. ALVAREZ-ARIMON,DESIGN & ARCHITECTURE SHS,h
228,228,228.0,"1410 NE 215TH STREET MIAMI, FL 33179",25.973648N,25.973648,80.174925W,-80.174925, (305)652-6808,DR. ALLISON HARLEY,DR MICHAEL M. KROP SHS,h
229,229,229.0,"15255 SW 96 STREET MIAMI, FL 33196",25.677284N,25.677284,80.442809W,-80.442809, (305)752-7900,NERY P. FINS,FELIX VARELA SHS,h
230,230,230.0,"3601 SW 147TH AVENUE MIAMI, FL 33185",25.734854N,25.734854000000002,80.431858W,-80.43185799999999, (305)225-9729,ALLEN N. BREEDING III,G. HOLMES BRADDOCK SHS,h
231,231,231.0,"11700 HIALEAH GARDENS BLVD HIALEAH GARDENS, FL 33018",25.898421N,25.898421,80.351465W,-80.351465, (305)698-5000,DR. LOUIS J. ALGAZE,HIALEAH GARDENS SHS,h
232,232,232.0,"251 EAST 47 STREET HIALEAH, FL 33013",25.865129N,25.865129,80.28071W,-80.28071, (305)822-1500,HERIBERTO SANCHEZ,HIALEAH SHS,h
233,233,233.0,"7977 WEST 12TH AVENUE HIALEAH, FL 33014",25.896563N,25.896563,80.308079W,-80.308079, (305)823-1330,LISA B. GARCIA,HIALEAH-MIAMI LAKES SHS,h
234,234,234.0,"2351 SE 12TH AVENUE HOMESTEAD, FL 33034",25.450668N,25.450668,80.460621W,-80.460621, (305)245-7000,GUILLERMO A. MUNOZ,HOMESTEAD SHS,h
235,235,235.0,"1570 MADRUGA AVENUE CORAL GABLES, FL 33146",25.707163N,25.707163,80.284564W,-80.284564, (305)663-7200,DR. ALINA M. DIAZ-BLANCO,INTERNATIONAL STUDIES PREPARATORY ACADEMY ,h
236,236,236.0,"1500 BISCAYNE BLVD, RM  MIAMI, FL 33132",25.789752N,25.789752,80.189075W,-80.189075, (305)995-1929,ALBERTO M. CARVALHO,IPREPARATORY ACADEMY,h
237,237,237.0,"6101 NW 2ND AVE MIAMI, FL 33127",25.831723N,25.831723,80.200307W,-80.200307, (305)762-5000,DR. LASHINDA S. MOORE,ITECH @ THOMAS A. EDISON ED. CTR.,h
238,238,238.0,"15900 SW 56 STREET MIAMI, FL 33185",25.713199N,25.713199,80.452439W,-80.452439, (305)408-2700,RAFAEL A. VILLALOBOS,JOHN A. FERGUSON SHS,h
239,239,239.0,"5701 WEST 24 AVENUE HIALEAH, FL 33016",25.875135N,25.875135,80.331255W,-80.331255, (305)557-5931,JOSE ENRIQUEZ JR,JOSE MARTI MAST 6-12 ACADEMY,h
240,240,240.0,"300 NW 2ND AVENUE MIAMI, FL 33128",25.776932N,25.776932000000002,80.197815W,-80.197815, (305)371-0400,TONY G. ULLIVARRI,LAW ENFORCEMENT OFFICERS MEMORIAL HIGH SCHOOL,h
241,241,241.0,"3979 RICKENBACKER CAUSEWAY MIAMI, FL 33149",25.738418N,25.738418,80.16753W,-80.16753, (305)365-6278,DR. DERICK R. MCKOY,MARITIME & SCIENCE TECHNOLOGY ACADEMY,h
242,242,242.0,"3000 NE 151ST STREET, AC-1, ROOM 395 NORTH MIAMI, FL 33181",25.915694N,25.915694000000002,80.140932W,-80.14093199999999, (305)919-4450,DR. MATTHEW J. WELKER,MAST @ FIU Biscayne Bay Campus,h
243,243,243.0,"1220 NW 1ST AVENUE HOMESTEAD, FL 33030",25.4822N,25.4822,80.479592W,-80.47959200000001, (305)257-4500,LISA S. NOFFO,MEDICAL ACADEMY FOR SCIENCE AND TECHNOLOGY,h
244,244,244.0,"15015 SW 24 STREET MIAMI, FL 33185",25.744688N,25.744688,80.438313W,-80.438313, (305)485-2323,DR. MIGUEL A. BALSERA,MIAMI ARTS STUDIO 6-12 AT ZELDA GLAZER,h
245,245,245.0,"2231 PRAIRIE AVENUE MIAMI BEACH, FL 33139",25.799892N,25.799892,80.133625W,-80.133625, (305)532-4515,DR. MARIA T. RODRIGUEZ,MIAMI BEACH SHS,h
246,246,246.0,"3301 MIAMI GARDENS DRIVE MIAMI GARDENS, FL 33056",25.940558N,25.940558,80.257044W,-80.257044, (305)621-5681,ADRENA Y. WILLIAMS,MIAMI CAROL CITY SHS,h
247,247,247.0,"1781 NW 95TH STREET MIAMI, FL 33147",25.861115N,25.861114999999998,80.228215W,-80.228215, (305)696-4161,GREGORY M. BETHUNE,MIAMI CENTRAL SHS,h
248,248,248.0,"8865 SW 16TH STREET MIAMI, FL 33165",25.754824N,25.754824,80.33979W,-80.33979000000001, (305)226-6565,ALICIA HIDALGO,MIAMI CORAL PARK SHS,h
249,249,249.0,"6161 NW 5TH COURT MIAMI, FL 33127",25.832158N,25.832158,80.205434W,-80.205434, (305)751-7337,LEON P. MAYCOCK,MIAMI EDISON SHS,h
250,250,250.0,"1751 NW 36TH STREET MIAMI, FL 33142",25.809513N,25.809513,80.225029W,-80.225029, (305)634-2621,RENNINA L. TURNER,MIAMI JACKSON SHS,h
251,251,251.0,"10655 SW 97TH AVENUE MIAMI, FL 33176",25.670277N,25.670277,80.351239W,-80.351239, (305)271-3311,MAGDA R. PEREIRA,MIAMI KILLIAN SHS,h
252,252,252.0,"5780 NW 158 STREET MIAMI LAKES, FL 33014",25.916981N,25.916981,80.294815W,-80.294815, (305)557-1100,LOURDES DIAZ,MIAMI LAKES EDUCATIONAL CENTER,h
253,253,253.0,"1050 NW 195TH STREET MIAMI GARDENS, FL 33169",25.95303N,25.95303,80.219141W,-80.21914100000001, (305)653-1416,REGINALD E. LEE,MIAMI NORLAND SHS,h
254,254,254.0,"1100 NW 71 STREET MIAMI, FL 33150",25.839513N,25.839513,80.213797W,-80.213797, (305)836-0991,WALLACE ARISTIDE,MIAMI NORTHWESTERN SHS,h
255,255,255.0,"7460 SW 118 STREET PINECREST, FL 33156",25.661158N,25.661158,80.315611W,-80.315611, (305)235-1360,VICTORIA G. DOBBS,MIAMI PALMETTO SHS,h
256,256,256.0,"2450 SW 1ST STREET MIAMI, FL 33135",25.771395N,25.771395000000002,80.235963W,-80.235963, (305)649-9800,BENNY VALDES,MIAMI SHS,h
257,257,257.0,"19355 SW 114TH AVENUE MIAMI, FL 33157",25.586222N,25.586222,80.376708W,-80.376708, (305)238-6110,HUMBERTO J. MIRET,MIAMI SOUTHRIDGE SHS,h
258,258,258.0,"751 DOVE AVENUE MIAMI SPRINGS, FL 33166",25.82985N,25.82985,80.295175W,-80.295175, (305)885-3585,EDWARD R. SMITH,MIAMI SPRINGS SHS,h
259,259,259.0,"13125 SW 72ND STREET MIAMI, FL 33183",25.70031N,25.70031,80.404752W,-80.404752, (305)385-4255,JOHN C. LUX,MIAMI SUNSET SHS,h
260,260,260.0,"1501 NE 2ND AVENUE, #336 MIAMI, FL 33132",31.181605N,31.181604999999998,83.76799W,-83.76799, (305)995-1257,DR. LUDY LOPEZ,MIAMI-DADE ONLINE ACADEMY 7001,h
261,261,261.0,"25 NE 2ND STREET MIAMI, FL 33132",25.776099N,25.776099,80.1932W,-80.1932, (305)237-3135,JASON H. ALLEN,NEW WORLD SCHOOL OF THE ARTS,h
262,262,262.0,"1247 NE 167TH STREET MIAMI, FL 33162",25.929143N,25.929143,80.17518W,-80.17518000000001, (305)949-8381,RANDY A. MILLIKEN,NORTH MIAMI BEACH SHS,h
263,263,263.0,"13110 NE 8 AVENUE NORTH MIAMI, FL 33161",25.896988N,25.896988,80.182697W,-80.18269699999999, (305)891-6590,PATRICK LACOUTY,NORTH MIAMI SHS,h
264,264,264.0,"18180 SW 122 AVENUE MIAMI, FL 33177",25.59914N,25.59914,80.38908W,-80.38908, (305)253-9920,REGINALD J. FOX,ROBERT MORGAN SHS,h
265,265,265.0,"8600 NW 107TH AVENUE DORAL, FL 33178",25.852484N,25.852484,80.370725W,-80.370725, (305)805-1900,JUAN C. BOUE,RONALD W. REAGAN/DORAL SHS,h
266,266,266.0,"11380 NW 27 AVE - ROOM 1111 MIAMI, FL 33167",25.878008N,25.878007999999998,80.242954W,-80.242954, (305)237-1089,DR. OMAR MONTEAGUDO,SCHOOL FOR ADVANCED STUDIES - NORTH,h
267,267,267.0,"11011 SW 104 STREET - ROOM 301 MIAMI, FL 33176",25.672329N,25.672329,80.372088W,-80.372088, (305)237-0510,DR. OMAR MONTEAGUDO,SCHOOL FOR ADVANCED STUDIES - SOUTH,h
268,268,268.0,"3800 NW 115TH AVENUE DORAL, FL 33178",25.807935N,25.807935,80.383833W,-80.383833, (305)237-8540,DR. OMAR MONTEAGUDO,SCHOOL FOR ADVANCED STUDIES - WEST,h
269,269,269.0,"25 NE 2ND STREET, ROOM 5515 MIAMI, FL 33132",25.776099N,25.776099,80.1932W,-80.1932, (305)237-7270,DR. OMAR MONTEAGUDO,SCHOOL FOR ADVANCED STUDIES - WOLFSON,h
270,270,270.0,"500 COLLEGE TERRACE HOMESTEAD, FL 33030",25.473558N,25.473557999999997,80.474138W,-80.474138, (305)237-5062,DR. OMAR MONTEAGUDO,SCHOOL FOR ADVANCED STUDIES HOMESTEAD,h
271,271,271.0,"28401 SW 167TH AVENUE MIAMI, FL 33030",25.503249N,25.503249,80.461301W,-80.461301, (305)247-4244,JUAN C. DE ARMAS,SOUTH DADE SHS,h
272,272,272.0,"6856 SW 53RD STREET MIAMI-DADE, FL 33155",25.721064N,25.721064000000002,80.305713W,-80.305713, (305)666-5871,GILBERTO D. BONCE,SOUTH MIAMI SHS,h
273,273,273.0,"8855 SW 50TH TERRACE MIAMI, FL 33165",25.721583N,25.721583,80.339644W,-80.33964399999999, (305)274-0181,DR. CARLOS RIOS JR,SOUTHWEST MIAMI SHS,h
274,274,274.0,"6300 NW 27TH AVE. ROOM 92 MIAMI, FL 33147",25.833N,25.833000000000002,80.241318W,-80.241318, (305)636-7356,"
",TAP - TEENAGE PARENT PROGRAM,h
275,275,275.0,"11005 SW 84 STREET MIAMI, FL 33173",25.690294N,25.690294,80.370024W,-80.370024, (305)412-5800,JOSE L. SIRVEN,TERRA ENVIRONMENTAL RESEARCH INSTITUTE,h
276,276,276.0,"4000 WEST 18TH AVENUE HIALEAH, FL 33012",25.858018N,25.858017999999998,80.318642W,-80.31864200000001, (305)818-3000,GIOVANNA M. BLANCO,WESTLAND HIALEAH SHS,h
277,277,277.0,"10151 NW 19TH AVENUE MIAMI, FL 33147",25.867088N,25.867088,80.230135W,-80.230135, (305)691-8324,UWEZO B. FRAZIER,WILLIAM H. TURNER TECHNICAL ARTS HIGH SCHOOL,h
278,278,278.0,"3001 NW 2 AVENUE MIAMI, FL 33127",25.805287N,25.805287,80.199238W,-80.199238, (305)571-1111,PIERRE R. EDOUARD,YOUNG MEN'S PREPARATORY ACADEMY,h
279,279,279.0,"1150 SW 1 STREET MIAMI, FL 33130",25.772546N,25.772546,80.213787W,-80.213787, (305)575-1200,CONCEPCION I. MARTINEZ,YOUNG WOMEN'S PREPARATORY ACADEMY,h
